date,city,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,day_of_year,month,season_sin,season_cos,temp_lag_1,humidity_lag_1,temp_lag_2,humidity_lag_2,temp_lag_3,humidity_lag_3,temp_roll_mean_7,humidity_roll_mean_7,wind_roll_mean_7,target_next_day_temp
2021-01-28,Greater Noida,12.8,64.7,8.0,0.0,28,1,0.4632579225674917,0.88622350294858,12.9,60.9,11.5,63.1,11.2,59.7,11.942857142857141,61.77142857142858,7.242857142857142,13.1
2021-01-29,Greater Noida,13.1,63.8,7.0,10.6,29,1,0.4784338202547012,0.8781236129591848,12.8,64.7,12.9,60.9,11.5,63.1,12.328571428571427,62.58571428571429,7.571428571428571,10.2
2021-01-30,Greater Noida,10.2,59.1,8.8,0.0,30,1,0.49346814167723735,0.8697638720650646,13.1,63.8,12.8,64.7,12.9,60.9,11.885714285714284,62.32857142857143,8.028571428571428,15.8
2021-01-31,Greater Noida,15.8,61.0,8.3,0.0,31,1,0.5083564379375122,0.8611467540480452,10.2,59.1,13.1,63.8,12.8,64.7,12.5,61.75714285714285,7.685714285714285,12.4
2021-02-01,Greater Noida,12.4,65.8,7.4,0.0,32,2,0.5230943033491326,0.8522748088519838,15.8,61.0,10.2,59.1,13.1,63.8,12.671428571428573,62.628571428571426,7.857142857142857,12.4
2021-02-02,Greater Noida,12.4,63.1,6.6,0.0,33,2,0.5376773767406141,0.8431506618282,12.4,65.8,15.8,61.0,10.2,59.1,12.799999999999999,62.62857142857143,7.557142857142857,12.2
2021-02-03,Greater Noida,12.2,55.8,8.6,0.0,34,2,0.5521013427459208,0.8337770129585915,12.4,63.1,12.4,65.8,15.8,61.0,12.700000000000001,61.89999999999999,7.814285714285715,14.4
2021-02-04,Greater Noida,14.4,63.9,6.4,0.0,35,2,0.5663619330814524,0.8241566360566663,12.2,55.8,12.4,63.1,12.4,65.8,12.928571428571429,61.785714285714285,7.585714285714286,15.3
2021-02-05,Greater Noida,15.3,56.8,9.0,0.0,36,2,0.580454927809098,0.8142923779467267,14.4,63.9,12.2,55.8,12.4,63.1,13.242857142857144,60.785714285714285,7.871428571428572,13.7
2021-02-06,Greater Noida,13.7,66.7,12.3,0.0,37,2,0.5943761565849831,0.804187157621448,15.3,56.8,14.4,63.9,12.2,55.8,13.742857142857142,61.871428571428574,8.37142857142857,12.9
2021-02-07,Greater Noida,12.9,65.0,10.4,0.0,38,2,0.6081214998935418,0.7938439653781019,13.7,66.7,15.3,56.8,14.4,63.9,13.328571428571427,62.44285714285714,8.671428571428573,13.1
2021-02-08,Greater Noida,13.1,62.0,9.5,0.0,39,2,0.6216868902665479,0.7832658619336791,12.9,65.0,13.7,66.7,15.3,56.8,13.428571428571429,61.9,8.971428571428572,15.4
2021-02-09,Greater Noida,15.4,61.3,8.4,0.0,40,2,0.6350683134867438,0.7724559775191742,13.1,62.0,12.9,65.0,13.7,66.7,13.857142857142858,61.642857142857146,9.228571428571428,15.7
2021-02-10,Greater Noida,15.7,59.8,5.7,0.0,41,2,0.6482618097757122,0.7614175109532997,15.4,61.3,13.1,62.0,12.9,65.0,14.357142857142858,62.214285714285715,8.814285714285715,15.7
2021-02-11,Greater Noida,15.7,63.2,6.6,0.0,42,2,0.6612634749656386,0.7501537286959042,15.7,59.8,15.4,61.3,13.1,62.0,14.542857142857144,62.11428571428571,8.842857142857143,14.2
2021-02-12,Greater Noida,14.2,58.9,10.6,0.0,43,2,0.6740694616546161,0.7386679638813748,15.7,63.2,15.7,59.8,15.4,61.3,14.385714285714284,62.41428571428572,9.071428571428571,15.6
2021-02-13,Greater Noida,15.6,61.2,7.5,0.0,44,2,0.6866759803451553,0.726963615332308,14.2,58.9,15.7,63.2,15.7,59.8,14.657142857142858,61.628571428571426,8.385714285714286,15.7
2021-02-14,Greater Noida,15.7,63.6,7.7,0.0,45,2,0.6990793005655562,0.7150441465537444,15.6,61.2,14.2,58.9,15.7,63.2,15.057142857142855,61.42857142857143,8.0,16.0
2021-02-15,Greater Noida,16.0,57.7,8.6,0.0,46,2,0.7112757519738152,0.7029130847082615,15.7,63.6,15.6,61.2,14.2,58.9,15.471428571428573,60.81428571428571,7.871428571428571,17.2
2021-02-16,Greater Noida,17.2,57.4,7.3,0.0,47,2,0.7232617254437388,0.6905740195722294,16.0,57.7,15.7,63.6,15.6,61.2,15.728571428571428,60.25714285714285,7.714285714285714,16.5
2021-02-17,Greater Noida,16.5,54.9,7.1,0.0,48,2,0.7350336741329412,0.6780306024735382,17.2,57.4,16.0,57.7,15.7,63.6,15.842857142857142,59.557142857142864,7.914285714285714,17.3
2021-02-18,Greater Noida,17.3,55.3,8.9,0.0,49,2,0.746588114532413,0.6652865452111116,16.5,54.9,17.2,57.4,16.0,57.7,16.071428571428573,58.42857142857143,8.242857142857144,16.7
2021-02-19,Greater Noida,16.7,52.1,7.7,0.0,50,2,0.7579216274973472,0.6523456189565257,17.3,55.3,16.5,54.9,17.2,57.4,16.428571428571427,57.457142857142856,7.828571428571429,17.2
2021-02-20,Greater Noida,17.2,62.2,7.9,0.0,51,2,0.7690308592589181,0.6392116531380588,16.7,52.1,17.3,55.3,16.5,54.9,16.657142857142855,57.6,7.885714285714286,18.0
2021-02-21,Greater Noida,18.0,66.4,7.9,5.3,52,2,0.7799125224167177,0.6258885343075018,17.2,62.2,16.7,52.1,17.3,55.3,16.985714285714288,58.0,7.914285714285714,12.3
2021-02-22,Greater Noida,12.3,64.7,9.9,0.0,53,2,0.7905633969115482,0.612380204990065,18.0,66.4,17.2,62.2,16.7,52.1,16.45714285714286,59.0,8.1,17.1
2021-02-23,Greater Noida,17.1,52.4,8.9,0.0,54,2,0.8009803309782905,0.5986906625177214,12.3,64.7,18.0,66.4,17.2,62.2,16.442857142857143,58.28571428571429,8.32857142857143,17.1
2021-02-24,Greater Noida,17.1,61.7,9.0,0.0,55,2,0.8111602420785621,0.5848239578463322,17.1,52.4,12.3,64.7,18.0,66.4,16.52857142857143,59.25714285714286,8.6,17.1
2021-02-25,Greater Noida,17.1,64.3,10.2,0.0,56,2,0.8211001178128892,0.5707841943569036,17.1,61.7,17.1,52.4,12.3,64.7,16.500000000000004,60.54285714285714,8.785714285714286,17.9
2021-02-26,Greater Noida,17.9,56.6,9.1,0.0,57,2,0.8307970168121247,0.5565755266413303,17.1,64.3,17.1,61.7,17.1,52.4,16.67142857142857,61.18571428571429,8.985714285714286,20.6
2021-02-27,Greater Noida,20.6,58.7,9.0,0.0,58,2,0.8402480696078469,0.5422021592729844,17.9,56.6,17.1,64.3,17.1,61.7,17.15714285714286,60.68571428571429,9.142857142857142,17.5
2021-02-28,Greater Noida,17.5,50.2,10.1,0.0,59,2,0.8494504794814806,0.527668345562516,20.6,58.7,17.9,56.6,17.1,64.3,17.085714285714285,58.371428571428574,9.457142857142857,20.3
2021-03-01,Greater Noida,20.3,59.1,10.5,0.0,60,3,0.8584015232918917,0.512978386299228,17.5,50.2,20.6,58.7,17.9,56.6,18.22857142857143,57.57142857142857,9.542857142857143,16.8
2021-03-02,Greater Noida,16.8,53.6,9.3,0.0,61,3,0.8670985522812081,0.4981366284784055,20.3,59.1,17.5,50.2,20.6,58.7,18.185714285714287,57.74285714285714,9.6,19.0
2021-03-03,Greater Noida,19.0,58.5,9.7,0.0,62,3,0.8755389928586302,0.4831474640149687,16.8,53.6,20.3,59.1,17.5,50.2,18.45714285714286,57.285714285714285,9.7,19.9
2021-03-04,Greater Noida,19.9,51.4,8.4,0.0,63,3,0.8837203473619977,0.4680153284438345,19.0,58.5,16.8,53.6,20.3,59.1,18.857142857142858,55.44285714285714,9.442857142857141,20.8
2021-03-05,Greater Noida,20.8,59.6,8.4,0.0,64,3,0.8916401947968874,0.45274469960737107,19.9,51.4,19.0,58.5,16.8,53.6,19.271428571428572,55.871428571428574,9.342857142857143,21.2
2021-03-06,Greater Noida,21.2,61.4,10.9,0.0,65,3,0.8992961915530253,0.4373400963303323,20.8,59.6,19.9,51.4,19.0,58.5,19.357142857142858,56.25714285714286,9.614285714285714,21.6
2021-03-07,Greater Noida,21.6,54.0,10.4,0.0,66,3,0.9066860720977985,0.4218060770826634,21.2,61.4,20.8,59.6,19.9,51.4,19.942857142857143,56.8,9.657142857142857,20.2
2021-03-08,Greater Noida,20.2,52.5,10.5,0.0,67,3,0.9138076496466615,0.40614723863057883,21.6,54.0,21.2,61.4,20.8,59.6,19.928571428571427,55.857142857142854,9.657142857142857,20.3
2021-03-09,Greater Noida,20.3,48.2,10.2,0.0,68,3,0.9206588168102428,0.3903682146763026,20.2,52.5,21.6,54.0,21.2,61.4,20.428571428571427,55.08571428571429,9.785714285714286,22.4
2021-03-10,Greater Noida,22.4,55.6,9.9,0.0,69,3,0.9272375462179537,0.374473674486883,20.3,48.2,20.2,52.5,21.6,54.0,20.914285714285715,54.67142857142857,9.814285714285715,21.2
2021-03-11,Greater Noida,21.2,54.2,10.9,0.0,70,3,0.9335418911179212,0.35846832151248087,22.4,55.6,20.3,48.2,20.2,52.5,21.099999999999998,55.07142857142857,10.171428571428573,19.9
2021-03-12,Greater Noida,19.9,50.2,11.3,0.0,71,3,0.9395699859530622,0.342356891994542,21.2,54.2,22.4,55.6,20.3,48.2,20.97142857142857,53.728571428571435,10.585714285714287,20.4
2021-03-13,Greater Noida,20.4,58.1,11.4,0.0,72,3,0.945320046913132,0.3261441535642696,19.9,50.2,21.2,54.2,22.4,55.6,20.857142857142858,53.25714285714286,10.657142857142857,20.9
2021-03-14,Greater Noida,20.9,54.3,9.9,0.0,73,3,0.9507903724625832,0.3098349038318025,20.4,58.1,19.9,50.2,21.2,54.2,20.75714285714286,53.300000000000004,10.585714285714287,23.2
2021-03-15,Greater Noida,23.2,51.7,12.1,0.0,74,3,0.9559793438440766,0.2934339689665273,20.9,54.3,20.4,58.1,19.9,50.2,21.185714285714283,53.18571428571429,10.814285714285715,22.9
2021-03-16,Greater Noida,22.9,53.6,10.4,0.0,75,3,0.9608854255574977,0.27694620226893646,23.2,51.7,20.9,54.3,20.4,58.1,21.557142857142857,53.95714285714286,10.842857142857142,24.0
2021-03-17,Greater Noida,24.0,59.9,11.1,6.0,76,3,0.9655071658143364,0.2603764827344581,22.9,53.6,23.2,51.7,20.9,54.3,21.785714285714285,54.57142857142857,11.014285714285716,19.7
2021-03-18,Greater Noida,19.7,57.9,10.6,0.0,77,3,0.969843196967294,0.24372971360968387,24.0,59.9,22.9,53.6,23.2,51.7,21.571428571428573,55.10000000000001,10.971428571428572,23.7
2021-03-19,Greater Noida,23.7,54.8,10.6,0.0,78,3,0.9738922359149924,0.22701082094141847,19.7,57.9,24.0,59.9,22.9,53.6,22.11428571428571,55.75714285714285,10.87142857142857,24.6
2021-03-20,Greater Noida,24.6,57.7,9.1,0.0,79,3,0.9776530844816641,0.2102247521189836,23.7,54.8,19.7,57.9,24.0,59.9,22.714285714285715,55.7,10.542857142857143,23.6
2021-03-21,Greater Noida,23.6,50.4,11.3,0.0,80,3,0.981124629771712,0.19337647441020586,24.6,57.7,23.7,54.8,19.7,57.9,23.1,55.142857142857146,10.742857142857144,24.9
2021-03-22,Greater Noida,24.9,55.0,14.6,0.0,81,3,0.984305844499033,0.17647097349152166,23.6,50.4,24.6,57.7,23.7,54.8,23.342857142857145,55.614285714285714,11.1,23.6
2021-03-23,Greater Noida,23.6,55.3,9.8,0.0,82,3,0.9871957872910085,0.15951325197263655,24.9,55.0,23.6,50.4,24.6,57.7,23.442857142857143,55.857142857142854,11.014285714285714,24.3
2021-03-24,Greater Noida,24.3,52.7,10.5,0.0,83,3,0.9897936029670716,0.14250832791617088,23.6,55.3,24.9,55.0,23.6,50.4,23.485714285714284,54.82857142857143,10.928571428571429,24.5
2021-03-25,Greater Noida,24.5,56.2,9.7,0.0,84,3,0.992098522791769,0.12546123335273648,24.3,52.7,23.6,55.3,24.9,55.0,24.17142857142857,54.58571428571428,10.799999999999999,23.6
2021-03-26,Greater Noida,23.6,51.2,9.7,0.0,85,3,0.9941098647022418,0.10837701279187609,24.5,56.2,24.3,52.7,23.6,55.3,24.157142857142862,54.07142857142857,10.671428571428573,26.3
2021-03-27,Greater Noida,26.3,56.2,12.8,0.0,86,3,0.9958270335100595,0.09126072172931188,23.6,51.2,24.5,56.2,24.3,52.7,24.4,53.857142857142854,11.200000000000001,25.2
2021-03-28,Greater Noida,25.2,56.2,9.5,0.0,87,3,0.9972495210773451,0.07411742515094437,26.3,56.2,23.6,51.2,24.5,56.2,24.62857142857143,54.68571428571429,10.942857142857141,26.1
2021-03-29,Greater Noida,26.1,42.2,9.8,0.0,88,3,0.998376906467142,0.056952196034039754,25.2,56.2,26.3,56.2,23.6,51.2,24.8,52.857142857142854,10.257142857142856,27.0
2021-03-30,Greater Noida,27.0,58.5,8.2,0.0,89,3,0.9992088560679753,0.03977011384605572,26.1,42.2,25.2,56.2,26.3,56.2,25.285714285714285,53.31428571428571,10.028571428571428,23.15
2021-03-31,Greater Noida,23.15,41.4,9.4,22.7,90,3,0.9997451236925734,0.022576263041545485,27.0,58.5,26.1,42.2,25.2,56.2,25.12142857142857,51.7,9.871428571428572,19.3
2021-04-01,Greater Noida,19.3,51.0,8.0,0.0,91,4,0.9999855506507186,0.005375731557583884,23.15,41.4,27.0,58.5,26.1,42.2,24.37857142857143,50.95714285714286,9.62857142857143,27.0
2021-04-02,Greater Noida,27.0,57.4,11.6,0.0,92,4,0.9999300657962057,-0.011826390691832589,19.3,51.0,23.15,41.4,27.0,58.5,24.86428571428571,51.84285714285714,9.9,26.8
2021-04-03,Greater Noida,26.8,51.9,14.9,29.5,93,4,0.9995786855478958,-0.029025013321975237,27.0,57.4,19.3,51.0,23.15,41.4,24.935714285714287,51.22857142857142,10.200000000000001,19.0
2021-04-04,Greater Noida,19.0,47.2,10.1,0.0,94,4,0.9989315138848577,-0.046215046983708354,26.8,51.9,27.0,57.4,19.3,51.0,24.05,49.94285714285714,10.285714285714286,25.5
2021-04-05,Greater Noida,25.5,48.6,8.2,0.0,95,4,0.9979887423155984,-0.06339140486951038,19.0,47.2,26.8,51.9,27.0,57.4,23.964285714285715,50.857142857142854,10.057142857142859,26.1
2021-04-06,Greater Noida,26.1,56.9,12.1,0.0,96,4,0.9967506498213929,-0.08054900421874167,25.5,48.6,19.0,47.2,26.8,51.9,23.835714285714285,50.62857142857143,10.614285714285714,26.5
2021-04-07,Greater Noida,26.5,45.0,9.7,0.0,97,4,0.9952176027737294,-0.09768276782171598,26.1,56.9,25.5,48.6,19.0,47.2,24.314285714285713,51.142857142857146,10.657142857142857,27.2
2021-04-08,Greater Noida,27.2,57.1,12.7,0.0,98,4,0.9933900548258936,-0.11478762552212701,26.5,45.0,26.1,56.9,25.5,48.6,25.442857142857147,52.01428571428571,11.328571428571427,29.4
2021-04-09,Greater Noida,29.4,52.2,10.4,4.9,99,4,0.9912685467787256,-0.13185851571739118,27.2,57.1,26.5,45.0,26.1,56.9,25.785714285714285,51.271428571428565,11.157142857142857,27.8
2021-04-10,Greater Noida,27.8,47.5,9.9,0.0,100,4,0.9888537064205885,-0.1488903868564548,29.4,52.2,27.2,57.1,26.5,45.0,25.928571428571427,50.642857142857146,10.442857142857141,28.8
2021-04-11,Greater Noida,28.8,49.9,10.6,0.0,101,4,0.986146248341595,-0.16587819893463143,27.8,47.5,29.4,52.2,27.2,57.1,27.32857142857143,51.028571428571425,10.514285714285714,31.4
2021-04-12,Greater Noida,31.4,48.0,12.0,0.0,102,4,0.9831469737221499,-0.1828169249850199,28.8,49.9,27.8,47.5,29.4,52.2,28.17142857142857,50.94285714285714,11.057142857142855,29.3
2021-04-13,Greater Noida,29.3,55.4,10.5,0.0,103,4,0.9798567700958665,-0.1997015525660636,31.4,48.0,28.8,49.9,27.8,47.5,28.62857142857143,50.72857142857142,10.828571428571427,31.1
2021-04-14,Greater Noida,31.1,54.8,10.1,0.0,104,4,0.9762766110869321,-0.21652708524481437,29.3,55.4,31.4,48.0,28.8,49.9,29.285714285714285,52.128571428571426,10.885714285714286,29.0
2021-04-15,Greater Noida,29.0,44.9,10.6,0.0,105,4,0.9724075561219968,-0.23328854407545518,31.1,54.8,29.3,55.4,31.4,48.0,29.54285714285714,50.385714285714286,10.585714285714285,30.2
2021-04-16,Greater Noida,30.2,50.0,9.0,0.0,106,4,0.9682507501166718,-0.2499809690726521,29.0,44.9,31.1,54.8,29.3,55.4,29.657142857142862,50.07142857142857,10.385714285714284,29.4
2021-04-17,Greater Noida,29.4,48.1,11.5,0.0,107,4,0.9638074231367307,-0.26659942067929354,30.2,50.0,29.0,44.9,31.1,54.8,29.885714285714283,50.15714285714286,10.614285714285714,30.5
2021-04-18,Greater Noida,30.5,56.6,8.2,0.0,108,4,0.9590788900341131,-0.28313898122818354,29.4,48.1,30.2,50.0,29.0,44.9,30.128571428571426,51.114285714285714,10.271428571428572,32.4
2021-04-19,Greater Noida,32.4,46.0,10.3,0.0,109,4,0.9540665500578387,-0.2995947563972602,30.5,56.6,29.4,48.1,30.2,50.0,30.271428571428572,50.82857142857143,10.028571428571428,29.0
2021-04-20,Greater Noida,29.0,57.7,12.1,0.0,110,4,0.9487718864399473,-0.31596187665790293,32.4,46.0,30.5,56.6,29.4,48.1,30.228571428571428,51.15714285714286,10.257142857142856,32.3
2021-04-21,Greater Noida,32.3,51.1,11.4,0.0,111,4,0.9431964659565866,-0.33223549871590435,29.0,57.7,32.4,46.0,30.5,56.6,30.400000000000002,50.628571428571426,10.442857142857141,32.2
2021-04-22,Greater Noida,32.2,46.5,11.8,5.3,112,4,0.9373419384643772,-0.3484108069446808,32.3,51.1,29.0,57.7,32.4,46.0,30.857142857142858,50.857142857142854,10.614285714285714,28.3
2021-04-23,Greater Noida,28.3,48.4,10.9,25.9,113,4,0.9312100364121947,-0.3644830148102912,32.2,46.5,32.3,51.1,29.0,57.7,30.585714285714285,50.62857142857143,10.885714285714286,30.450000000000003
2021-04-24,Greater Noida,30.450000000000003,47.8,12.7,0.0,114,4,0.9248025743285089,-0.38044736628785164,28.3,48.4,32.2,46.5,32.3,51.1,30.735714285714288,50.58571428571429,11.057142857142859,32.6
2021-04-25,Greater Noida,32.6,45.9,12.4,0.0,115,4,0.9181214482844365,-0.39629913726891813,30.450000000000003,47.8,28.3,48.4,32.2,46.5,31.035714285714285,49.05714285714286,11.657142857142857,32.0
2021-04-26,Greater Noida,32.0,51.3,11.7,0.0,116,4,0.9111686353326631,-0.41203363695942635,32.6,45.9,30.450000000000003,47.8,28.3,48.4,30.97857142857143,49.81428571428571,11.857142857142858,33.3
2021-04-27,Greater Noida,33.3,45.9,12.4,0.0,117,4,0.9039461929224011,-0.42764620926777464,32.0,51.3,32.6,45.9,30.450000000000003,47.8,31.592857142857145,48.128571428571426,11.900000000000002,33.2
2021-04-28,Greater Noida,33.2,42.1,12.1,0.0,118,4,0.8964562582905575,-0.44313223418263453,33.3,45.9,32.0,51.3,32.6,45.9,31.72142857142857,46.84285714285714,12.0,35.6
2021-04-29,Greater Noida,35.6,49.3,10.3,0.0,119,4,0.8887010478292915,-0.45848712914008766,33.2,42.1,33.3,45.9,32.0,51.3,32.20714285714286,47.24285714285713,11.785714285714286,33.2
2021-04-30,Greater Noida,33.2,43.5,9.0,0.0,120,4,0.8806828564301475,-0.47370635037968,35.6,49.3,33.2,42.1,33.3,45.9,32.90714285714286,46.54285714285714,11.514285714285714,32.3
2021-05-01,Greater Noida,32.3,47.7,11.6,0.0,121,5,0.8724040568049612,-0.48878539428899265,33.2,43.5,35.6,49.3,33.2,42.1,33.17142857142857,46.528571428571425,11.357142857142858,34.2
2021-05-02,Greater Noida,34.2,47.1,11.8,0.0,122,5,0.8638670987837349,-0.503719798736334,32.3,47.7,33.2,43.5,35.6,49.3,33.4,46.699999999999996,11.271428571428572,34.5
2021-05-03,Greater Noida,34.5,47.2,12.6,0.0,123,5,0.8550745085896932,-0.518505144391157,34.2,47.1,32.3,47.7,33.2,43.5,33.75714285714286,46.114285714285714,11.4,36.2
2021-05-04,Greater Noida,36.2,58.7,9.6,0.0,124,5,0.8460288880917339,-0.533137056031809,34.5,47.2,34.2,47.1,32.3,47.7,34.17142857142857,47.94285714285714,11.0,35.7
2021-05-05,Greater Noida,35.7,50.9,9.6,0.0,125,5,0.8367329140344921,-0.5476112038402312,36.2,58.7,34.5,47.2,34.2,47.1,34.528571428571425,49.199999999999996,10.642857142857142,35.2
2021-05-06,Greater Noida,35.2,51.7,11.7,0.0,126,5,0.8271893372462497,-0.5619233046832195,35.7,50.9,36.2,58.7,34.5,47.2,34.471428571428575,49.54285714285715,10.842857142857143,36.9
2021-05-07,Greater Noida,36.9,43.7,10.9,0.0,127,5,0.8174009818249189,-0.5760691233798758,35.2,51.7,35.7,50.9,36.2,58.7,35.0,49.57142857142858,11.114285714285714,33.4
2021-05-08,Greater Noida,33.4,48.2,8.2,0.0,128,5,0.8073707443023492,-0.5900444739548627,36.9,43.7,35.2,51.7,35.7,50.9,35.15714285714286,49.642857142857146,10.628571428571428,34.3
2021-05-09,Greater Noida,34.3,51.7,11.5,0.0,129,5,0.7971015927871943,-0.6038452208771035,33.4,48.2,36.9,43.7,35.2,51.7,35.17142857142857,50.300000000000004,10.585714285714285,34.1
2021-05-10,Greater Noida,34.1,46.8,8.2,0.0,130,5,0.7865965660866021,-0.6174672802835514,34.3,51.7,33.4,48.2,36.9,43.7,35.114285714285714,50.24285714285714,9.957142857142857,35.0
2021-05-11,Greater Noida,35.0,54.6,9.5,0.0,131,5,0.7758587728069828,-0.6309066211876704,34.1,46.8,34.3,51.7,33.4,48.2,34.94285714285714,49.65714285714286,9.942857142857141,33.8
2021-05-12,Greater Noida,33.8,46.2,13.0,0.0,132,5,0.7648913904341226,-0.6441592666722685,35.0,54.6,34.1,46.8,34.3,51.7,34.67142857142857,48.98571428571429,10.428571428571429,36.8
2021-05-13,Greater Noida,36.8,49.9,13.7,0.0,133,5,0.753697664392914,-0.6572212950663319,33.8,46.2,35.0,54.6,34.1,46.8,34.9,48.728571428571435,10.714285714285714,35.7
2021-05-14,Greater Noida,35.7,48.8,9.1,0.0,134,5,0.742280907086982,-0.6700888411055113,36.8,49.9,33.8,46.2,35.0,54.6,34.72857142857142,49.457142857142856,10.457142857142857,34.2
2021-05-15,Greater Noida,34.2,51.9,10.4,0.0,135,5,0.7306444969184916,-0.6827580970759147,35.7,48.8,36.8,49.9,33.8,46.2,34.84285714285714,49.98571428571428,10.771428571428572,34.9
2021-05-16,Greater Noida,34.9,48.8,11.0,18.2,136,5,0.7187918772884232,-0.6952253139408722,34.2,51.9,35.7,48.8,36.8,49.9,34.92857142857143,49.57142857142857,10.700000000000001,28.4
2021-05-17,Greater Noida,28.4,50.4,13.6,40.1,137,5,0.7067265555776158,-0.7074868024503348,34.9,48.8,34.2,51.9,35.7,48.8,34.114285714285714,50.08571428571429,11.471428571428572,29.3
2021-05-18,Greater Noida,29.3,50.7,10.1,0.0,138,5,0.6944521021088763,-0.719538934232584,28.4,50.4,34.9,48.8,34.2,51.9,33.3,49.528571428571425,11.557142857142855,39.6
