date,city,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm
2021-02-09,Greater Noida,15.4,61.3,8.4,0.0
2021-02-10,Greater Noida,15.7,59.8,5.7,0.0
2021-02-11,Greater Noida,15.7,63.2,6.6,0.0
2021-02-12,Greater Noida,14.2,58.9,10.6,0.0
2021-02-13,Greater Noida,15.6,61.2,7.5,0.0
2021-02-14,Greater Noida,15.7,63.6,7.7,0.0
2021-02-15,Greater Noida,16.0,57.7,8.6,0.0
2021-02-16,Greater Noida,17.2,57.4,7.3,0.0
2021-02-17,Greater Noida,16.5,54.9,7.1,0.0
2021-02-18,Greater Noida,17.3,55.3,8.9,0.0
2021-02-19,Greater Noida,16.7,52.1,7.7,0.0
2021-02-20,Greater Noida,17.2,62.2,7.9,0.0
2021-02-21,Greater Noida,18.0,66.4,7.9,5.3
2021-02-22,Greater Noida,12.3,64.7,9.9,0.0
2021-02-23,Greater Noida,17.1,52.4,8.9,0.0
2021-02-24,Greater Noida,17.1,61.7,9.0,0.0
2021-02-25,Greater Noida,17.1,64.3,10.2,0.0
2021-02-26,Greater Noida,17.9,56.6,9.1,0.0
2021-02-27,Greater Noida,20.6,58.7,9.0,0.0
2021-02-28,Greater Noida,17.5,50.2,10.1,0.0
2021-03-01,Greater Noida,20.3,59.1,10.5,0.0
2021-03-02,Greater Noida,16.8,53.6,9.3,0.0
2021-03-03,Greater Noida,19.0,58.5,9.7,0.0
2021-03-04,Greater Noida,19.9,51.4,8.4,0.0
2021-03-05,Greater Noida,20.8,59.6,8.4,0.0
2021-03-06,Greater Noida,21.2,61.4,10.9,0.0
2021-03-07,Greater Noida,21.6,54.0,10.4,0.0
2021-03-08,Greater Noida,20.2,52.5,10.5,0.0
2021-03-09,Greater Noida,20.3,48.2,10.2,0.0
2021-03-10,Greater Noida,22.4,55.6,9.9,0.0
2021-03-11,Greater Noida,21.2,54.2,10.9,0.0
2021-03-12,Greater Noida,19.9,50.2,11.3,0.0
2021-03-13,Greater Noida,20.4,58.1,11.4,0.0
2021-03-14,Greater Noida,20.9,54.3,9.9,0.0
2021-03-15,Greater Noida,23.2,51.7,12.1,0.0
2021-03-16,Greater Noida,22.9,53.6,10.4,0.0
2021-03-17,Greater Noida,24.0,59.9,11.1,6.0
2021-03-18,Greater Noida,19.7,57.9,10.6,0.0
2021-03-19,Greater Noida,23.7,54.8,10.6,0.0
2021-03-20,Greater Noida,24.6,57.7,9.1,0.0
2021-03-21,Greater Noida,23.6,50.4,11.3,0.0
2021-03-22,Greater Noida,24.9,55.0,14.6,0.0
2021-03-23,Greater Noida,23.6,55.3,9.8,0.0
2021-03-24,Greater Noida,24.3,52.7,10.5,0.0
2021-03-25,Greater Noida,24.5,56.2,9.7,0.0
2021-03-26,Greater Noida,23.6,51.2,9.7,0.0
2021-03-27,Greater Noida,26.3,56.2,12.8,0.0
2021-03-28,Greater Noida,25.2,56.2,9.5,0.0
2021-03-29,Greater Noida,26.1,42.2,9.8,0.0
2021-03-30,Greater Noida,27.0,58.5,8.2,0.0
2021-03-31,Greater Noida,72.2,41.4,9.4,22.7
2021-04-01,Greater Noida,19.3,51.0,8.0,0.0
2021-04-02,Greater Noida,27.0,57.4,11.6,0.0
2021-04-03,Greater Noida,26.8,51.9,14.9,29.5
2021-04-04,Greater Noida,19.0,47.2,10.1,0.0
2021-04-05,Greater Noida,25.5,48.6,8.2,0.0
2021-04-06,Greater Noida,26.1,56.9,12.1,0.0
2021-04-07,Greater Noida,26.5,45.0,9.7,0.0
2021-04-08,Greater Noida,27.2,57.1,12.7,0.0
2021-04-09,Greater Noida,29.4,52.2,10.4,4.9
2021-04-10,Greater Noida,27.8,47.5,9.9,0.0
2021-04-11,Greater Noida,28.8,49.9,10.6,0.0
2021-04-12,Greater Noida,31.4,48.0,12.0,0.0
2021-04-13,Greater Noida,29.3,55.4,10.5,0.0
2021-04-14,Greater Noida,31.1,54.8,10.1,0.0
2021-04-15,Greater Noida,29.0,44.9,10.6,0.0
2021-04-16,Greater Noida,30.2,50.0,9.0,0.0
2021-04-17,Greater Noida,29.4,48.1,11.5,0.0
2021-04-18,Greater Noida,30.5,56.6,8.2,0.0
2021-04-19,Greater Noida,32.4,46.0,10.3,0.0
2021-04-20,Greater Noida,29.0,57.7,12.1,0.0
2021-04-21,Greater Noida,32.3,51.1,11.4,0.0
2021-04-22,Greater Noida,32.2,46.5,11.8,5.3
2021-04-23,Greater Noida,28.3,48.4,10.9,25.9
2021-04-24,Greater Noida,66.8,47.8,12.7,0.0
2021-04-25,Greater Noida,32.6,45.9,12.4,0.0
2021-04-26,Greater Noida,32.0,51.3,11.7,0.0
2021-04-27,Greater Noida,33.3,45.9,12.4,0.0
2021-04-28,Greater Noida,33.2,42.1,12.1,0.0
2021-04-29,Greater Noida,35.6,49.3,10.3,0.0
2021-04-30,Greater Noida,33.2,43.5,9.0,0.0
2021-05-01,Greater Noida,32.3,47.7,11.6,0.0
2021-05-02,Greater Noida,34.2,47.1,11.8,0.0
2021-05-03,Greater Noida,34.5,47.2,12.6,0.0
2021-05-04,Greater Noida,36.2,58.7,9.6,0.0
2021-05-05,Greater Noida,35.7,50.9,9.6,0.0
2021-05-06,Greater Noida,35.2,51.7,11.7,0.0
2021-05-07,Greater Noida,36.9,43.7,10.9,0.0
2021-05-08,Greater Noida,33.4,48.2,8.2,0.0
2021-05-09,Greater Noida,34.3,51.7,11.5,0.0
2021-05-10,Greater Noida,34.1,46.8,8.2,0.0
2021-05-11,Greater Noida,35.0,54.6,9.5,0.0
2021-05-12,Greater Noida,33.8,46.2,13.0,0.0
2021-05-13,Greater Noida,36.8,49.9,13.7,0.0
2021-05-14,Greater Noida,35.7,48.8,9.1,0.0
2021-05-15,Greater Noida,34.2,51.9,10.4,0.0
2021-05-16,Greater Noida,34.9,48.8,11.0,18.2
2021-05-17,Greater Noida,28.4,50.4,13.6,40.1
2021-05-18,Greater Noida,29.3,50.7,10.1,0.0
2021-05-19,Greater Noida,39.6,48.8,10.1,0.0
2021-05-20,Greater Noida,41.0,53.8,13.2,0.0
2021-05-21,Greater Noida,37.6,53.0,10.3,17.0
2021-05-22,Greater Noida,27.3,51.8,11.9,0.0
2021-05-23,Greater Noida,34.3,50.6,8.6,0.0
2021-05-24,Greater Noida,37.8,55.7,10.5,0.0
2021-05-25,Greater Noida,36.4,51.8,8.3,37.5
2021-05-26,Greater Noida,28.6,51.7,9.2,0.0
2021-05-27,Greater Noida,36.9,53.5,12.0,18.8
2021-05-28,Greater Noida,29.2,60.1,10.6,0.0
2021-05-29,Greater Noida,39.4,48.2,10.2,21.5
2021-05-30,Greater Noida,29.8,56.9,9.5,15.1
2021-05-31,Greater Noida,29.4,46.5,10.3,36.2
2021-06-01,Greater Noida,28.3,55.2,11.0,0.0
2021-06-02,Greater Noida,36.0,60.9,12.0,0.0
2021-06-03,Greater Noida,37.7,56.8,6.6,0.0
2021-06-04,Greater Noida,38.4,55.8,9.3,0.0
2021-06-05,Greater Noida,41.0,53.1,10.7,0.0
2021-06-06,Greater Noida,38.8,55.8,10.3,0.0
2021-06-07,Greater Noida,40.0,55.0,11.0,0.0
2021-06-08,Greater Noida,38.0,53.1,10.8,0.0
2021-06-09,Greater Noida,37.1,55.4,9.9,0.0
2021-06-10,Greater Noida,37.5,57.7,9.5,0.0
2021-06-11,Greater Noida,37.8,54.1,9.9,0.0
2021-06-12,Greater Noida,41.9,54.3,12.0,25.6
2021-06-13,Greater Noida,29.3,52.4,9.1,0.0
2021-06-14,Greater Noida,40.1,59.7,10.1,9.1
2021-06-15,Greater Noida,34.7,60.7,10.4,5.6
2021-06-16,Greater Noida,37.3,59.8,,0.0
2021-06-17,Greater Noida,39.6,63.0,9.6,0.0
2021-06-18,Greater Noida,38.8,59.9,11.5,0.0
2021-06-19,Greater Noida,39.0,61.4,11.9,3.9
2021-06-20,Greater Noida,38.1,61.4,9.9,0.0
2021-06-21,Greater Noida,39.7,60.2,9.6,0.0
2021-06-22,Greater Noida,38.4,58.7,9.4,0.0
2021-06-23,Greater Noida,37.3,70.0,9.5,0.0
2021-06-24,Greater Noida,37.2,59.7,11.1,22.6
2021-06-25,Greater Noida,30.8,59.2,10.1,0.0
2021-06-26,Greater Noida,41.2,63.9,10.1,0.0
2021-06-27,Greater Noida,39.2,63.5,8.0,0.0
2021-06-28,Greater Noida,38.8,57.2,8.2,0.0
2021-06-29,Greater Noida,39.3,67.6,12.8,7.5
2021-06-30,Greater Noida,37.7,63.0,9.3,0.0
2021-07-01,Greater Noida,39.1,59.2,8.3,0.0
2021-07-02,Greater Noida,38.2,68.7,11.6,10.8
2021-07-03,Greater Noida,37.3,66.7,9.8,17.0
2021-07-04,Greater Noida,30.7,59.4,10.2,0.0
2021-07-05,Greater Noida,40.7,71.9,9.1,0.0
2021-07-06,Greater Noida,38.8,67.6,8.8,10.4
2021-07-07,Greater Noida,33.7,65.2,9.0,0.0
2021-07-08,Greater Noida,36.5,71.8,7.1,0.0
2021-07-09,Greater Noida,40.6,66.3,9.0,12.9
2021-07-10,Greater Noida,37.6,65.7,9.5,21.4
2021-07-11,Greater Noida,29.4,63.4,11.8,0.0
2021-07-12,Greater Noida,37.5,68.6,9.1,0.0
2021-07-13,Greater Noida,40.0,68.3,5.4,0.0
2021-07-14,Greater Noida,36.3,66.6,8.8,30.4
2021-07-15,Greater Noida,28.0,63.5,13.0,0.0
2021-07-16,Greater Noida,38.5,67.3,10.1,0.0
2021-07-17,Greater Noida,37.0,66.6,7.5,0.0
2021-07-18,Greater Noida,37.4,61.7,9.6,12.7
2021-07-19,Greater Noida,34.0,61.2,7.5,0.0
2021-07-20,Greater Noida,37.6,69.4,6.6,9.5
2021-07-21,Greater Noida,36.0,56.8,8.0,15.9
2021-07-22,Greater Noida,28.5,68.1,8.6,0.0
2021-07-23,Greater Noida,37.7,65.3,5.6,0.0
2021-07-24,Greater Noida,33.7,72.5,6.7,27.8
2021-07-25,Greater Noida,27.9,65.3,8.4,0.0
2021-07-26,Greater Noida,35.1,69.9,7.7,50.0
2021-07-27,Greater Noida,26.0,65.6,8.8,30.6
2021-07-28,Greater Noida,26.3,67.6,6.4,8.0
2021-07-29,Greater Noida,32.4,70.1,9.2,4.0
2021-07-30,Greater Noida,37.0,65.2,6.3,0.0
2021-07-31,Greater Noida,33.7,71.0,10.5,0.0
2021-08-01,Greater Noida,35.4,62.9,5.4,0.0
2021-08-02,Greater Noida,34.5,68.0,6.3,1.9
2021-08-03,Greater Noida,34.6,70.4,8.5,3.0
2021-08-04,Greater Noida,36.3,69.2,10.3,19.2
2021-08-05,Greater Noida,26.9,74.1,8.2,0.0
2021-08-06,Greater Noida,36.4,63.2,8.6,9.0
2021-08-07,Greater Noida,31.1,60.6,7.7,0.0
2021-08-08,Greater Noida,33.1,62.0,6.1,0.0
2021-08-09,Greater Noida,33.6,68.4,6.8,0.0
2021-08-10,Greater Noida,34.1,67.6,5.7,21.3
2021-08-11,Greater Noida,25.3,65.9,5.5,11.2
2021-08-12,Greater Noida,28.8,60.8,8.0,0.0
2021-08-13,Greater Noida,33.2,68.1,5.7,0.0
2021-08-14,Greater Noida,33.2,60.0,7.8,4.6
2021-08-15,Greater Noida,36.2,69.3,5.3,0.0
2021-08-16,Greater Noida,35.1,75.9,7.7,0.0
2021-08-17,Greater Noida,31.1,65.7,6.4,0.0
2021-08-18,Greater Noida,31.7,66.4,9.2,4.6
2021-08-19,Greater Noida,29.8,61.9,7.6,28.6
2021-08-20,Greater Noida,,56.4,8.9,15.2
2021-08-21,Greater Noida,23.3,61.0,5.8,38.0
2021-08-22,Greater Noida,24.4,58.9,7.0,0.0
2021-08-23,Greater Noida,29.9,57.2,5.4,0.0
2021-08-24,Greater Noida,29.8,69.7,6.2,0.0
2021-08-25,Greater Noida,27.5,63.7,6.4,0.0
2021-08-26,Greater Noida,30.0,63.9,5.6,5.6
2021-08-27,Greater Noida,25.5,61.0,4.9,9.3
2021-08-28,Greater Noida,26.0,61.3,4.5,0.0
2021-08-29,Greater Noida,28.3,65.7,3.1,0.0
2021-08-30,Greater Noida,29.2,61.5,5.0,0.0
2021-08-31,Greater Noida,26.6,63.5,7.4,11.1
2021-09-01,Greater Noida,23.8,60.5,4.1,20.8
2021-09-02,Greater Noida,23.0,59.7,4.4,4.5
2021-09-03,Greater Noida,-13.5,55.3,9.1,0.0
2021-09-04,Greater Noida,26.5,52.8,5.4,0.0
2021-09-05,Greater Noida,30.4,59.5,6.8,0.0
2021-09-06,Greater Noida,31.6,60.6,7.2,0.0
2021-09-07,Greater Noida,25.7,55.1,7.2,5.7
2021-09-08,Greater Noida,23.5,60.0,3.9,0.0
2021-09-09,Greater Noida,27.3,60.2,5.8,12.9
2021-09-10,Greater Noida,26.0,51.2,3.7,0.0
2021-09-11,Greater Noida,24.9,56.1,9.7,0.0
2021-09-12,Greater Noida,25.7,61.3,3.6,0.0
2021-09-13,Greater Noida,26.9,61.1,4.4,0.0
2021-09-14,Greater Noida,26.1,54.8,4.4,0.0
2021-09-15,Greater Noida,24.8,60.0,3.6,0.0
2021-09-16,Greater Noida,24.8,63.4,7.9,17.2
2021-09-17,Greater Noida,14.3,62.3,9.5,11.5
2021-09-18,Greater Noida,21.2,58.7,5.1,0.0
2021-09-19,Greater Noida,23.9,57.2,3.8,0.0
2021-09-20,Greater Noida,24.3,56.5,2.4,20.5
2021-09-21,Greater Noida,14.5,60.8,5.3,10.0
2021-09-22,Greater Noida,21.1,59.7,5.2,2.9
2021-09-23,Greater Noida,24.6,61.4,4.6,0.0
2021-09-24,Greater Noida,23.2,59.4,5.9,0.0
2021-09-25,Greater Noida,23.2,62.1,6.1,0.0
2021-09-26,Greater Noida,22.5,59.2,6.0,0.0
2021-09-27,Greater Noida,22.2,62.0,5.0,0.0
2021-09-28,Greater Noida,20.9,62.3,3.8,0.0
2021-09-29,Greater Noida,22.1,55.6,6.4,0.0
2021-09-30,Greater Noida,21.3,51.6,5.4,0.0
2021-10-01,Greater Noida,24.1,65.1,6.7,0.0
2021-10-02,Greater Noida,23.1,59.9,6.5,0.0
2021-10-03,Greater Noida,21.2,52.1,3.2,22.2
2021-10-04,Greater Noida,10.9,56.1,3.2,0.0
2021-10-05,Greater Noida,18.6,62.1,4.2,0.0
2021-10-06,Greater Noida,21.6,57.9,3.7,0.0
2021-10-07,Greater Noida,20.0,57.1,6.4,37.4
2021-10-08,Greater Noida,11.6,64.8,5.8,0.0
2021-10-09,Greater Noida,16.7,55.0,6.9,0.0
2021-10-10,Greater Noida,,56.1,5.8,0.0
2021-10-11,Greater Noida,19.3,60.2,5.5,0.0
2021-10-12,Greater Noida,16.9,61.0,7.0,19.9
2021-10-13,Greater Noida,9.1,61.5,5.8,0.0
2021-10-14,Greater Noida,18.4,63.2,5.2,0.0
2021-10-15,Greater Noida,17.8,60.4,7.3,0.0
2021-10-16,Greater Noida,17.1,61.7,5.3,0.0
2021-10-17,Greater Noida,17.1,58.8,4.6,7.0
2021-10-18,Greater Noida,13.7,60.2,3.8,0.0
2021-10-19,Greater Noida,17.0,60.4,6.1,17.8
2021-10-20,Greater Noida,10.2,60.9,6.9,0.0
2021-10-21,Greater Noida,12.8,63.3,5.0,0.0
2021-10-22,Greater Noida,15.8,62.5,7.0,0.0
2021-10-23,Greater Noida,16.2,60.5,2.1,0.0
2021-10-24,Greater Noida,16.1,57.2,4.9,0.0
2021-10-25,Greater Noida,15.0,60.8,5.0,0.0
2021-10-26,Greater Noida,12.9,60.5,3.9,0.0
2021-10-27,Greater Noida,15.6,61.5,8.6,0.0
2021-10-28,Greater Noida,17.3,69.7,4.9,0.0
2021-10-29,Greater Noida,12.6,58.8,4.4,0.0
2021-10-30,Greater Noida,15.7,62.7,5.0,0.0
2021-10-31,Greater Noida,13.8,65.4,2.0,0.0
2021-11-01,Greater Noida,14.0,61.6,3.9,0.0
2021-11-02,Greater Noida,12.4,70.7,6.5,0.0
2021-11-03,Greater Noida,13.3,59.9,4.1,0.0
2021-11-04,Greater Noida,15.4,62.8,3.8,0.0
2021-11-05,Greater Noida,14.2,58.4,7.0,0.0
2021-11-06,Greater Noida,15.6,60.3,7.0,0.0
2021-11-07,Greater Noida,14.7,62.8,5.8,0.0
2021-11-08,Greater Noida,13.5,65.3,4.3,20.8
2021-11-09,Greater Noida,6.6,63.2,4.7,0.0
2021-11-10,Greater Noida,13.1,67.1,3.8,0.0
2021-11-11,Greater Noida,13.5,61.8,3.6,0.0
2021-11-12,Greater Noida,11.8,60.9,3.5,0.0
2021-11-13,Greater Noida,12.1,73.1,4.1,0.0
2021-11-14,Greater Noida,10.9,64.0,3.5,0.0
2021-11-15,Greater Noida,13.1,59.6,2.8,0.0
2021-11-16,Greater Noida,,,5.4,22.5
2021-11-17,Greater Noida,4.0,58.9,5.5,0.0
2021-11-18,Greater Noida,11.0,66.5,7.7,0.0
2021-11-19,Greater Noida,12.8,61.3,4.2,0.0
2021-11-20,Greater Noida,12.1,63.4,5.6,0.0
2021-11-21,Greater Noida,13.5,62.7,5.7,0.0
2021-11-22,Greater Noida,11.8,65.9,4.8,0.0
2021-11-23,Greater Noida,8.5,59.7,6.3,0.0
2021-11-24,Greater Noida,10.5,58.8,6.4,0.0
2021-11-25,Greater Noida,8.8,64.1,5.8,0.0
2021-11-26,Greater Noida,9.6,65.7,4.9,0.0
2021-11-27,Greater Noida,12.4,64.7,4.8,0.0
2021-11-28,Greater Noida,11.1,60.1,3.3,0.0
2021-11-29,Greater Noida,9.1,66.1,4.2,0.0
2021-11-30,Greater Noida,8.6,60.5,4.5,0.0
2021-12-01,Greater Noida,9.9,61.5,3.7,17.2
2021-12-02,Greater Noida,-0.4,59.8,6.1,0.0
2021-12-03,Greater Noida,8.8,68.8,7.3,0.0
2021-12-04,Greater Noida,10.1,66.2,4.1,0.0
2021-12-05,Greater Noida,11.2,66.1,6.0,0.0
2021-12-06,Greater Noida,10.4,68.7,4.0,0.0
2021-12-07,Greater Noida,8.1,75.0,5.1,0.0
2021-12-08,Greater Noida,9.9,57.0,4.6,0.0
2021-12-09,Greater Noida,9.5,60.9,6.6,0.0
2021-12-10,Greater Noida,9.9,61.4,4.7,2.5
2021-12-11,Greater Noida,11.6,60.5,7.2,0.0
2021-12-12,Greater Noida,6.4,59.6,5.4,0.0
2021-12-13,Greater Noida,8.4,62.7,4.8,0.0
2021-12-14,Greater Noida,10.0,59.1,3.9,0.0
2021-12-15,Greater Noida,7.0,65.3,6.2,0.0
2021-12-16,Greater Noida,11.2,64.2,7.2,0.0
2021-12-17,Greater Noida,9.6,65.9,6.3,37.5
2021-12-18,Greater Noida,1.8,66.0,9.3,0.0
2021-12-19,Greater Noida,8.3,66.4,8.2,0.0
2021-12-20,Greater Noida,10.3,62.5,5.6,0.0
2021-12-21,Greater Noida,10.6,72.5,5.6,0.0
2021-12-22,Greater Noida,9.5,64.9,6.8,0.0
2021-12-23,Greater Noida,9.5,56.5,4.9,0.0
2021-12-24,Greater Noida,9.5,60.0,8.0,0.0
2021-12-25,Greater Noida,8.0,57.0,6.8,0.0
2021-12-26,Greater Noida,9.0,64.0,6.7,0.0
2021-12-27,Greater Noida,9.0,63.4,7.4,0.0
2021-12-28,Greater Noida,9.8,62.0,9.0,7.7
2021-12-29,Greater Noida,7.7,71.9,6.7,0.0
2021-12-30,Greater Noida,7.9,66.1,6.3,0.0
2021-12-31,Greater Noida,9.2,66.7,8.8,0.0
2022-01-01,Greater Noida,11.5,60.1,8.0,0.0
2022-01-02,Greater Noida,8.5,59.8,6.1,0.0
2022-01-03,Greater Noida,8.4,63.9,6.7,0.0
2022-01-04,Greater Noida,9.9,64.4,7.0,0.0
2022-01-05,Greater Noida,10.9,56.2,7.3,0.0
2022-01-06,Greater Noida,-30.2,62.9,4.8,0.0
2022-01-07,Greater Noida,11.7,63.6,4.5,0.0
2022-01-08,Greater Noida,11.1,62.6,5.6,0.0
2022-01-09,Greater Noida,11.2,60.2,5.5,0.0
2022-01-10,Greater Noida,10.9,61.2,6.0,0.0
2022-01-11,Greater Noida,13.5,62.6,8.0,0.0
2022-01-12,Greater Noida,10.0,63.6,6.8,6.8
2022-01-13,Greater Noida,4.6,65.6,7.4,0.0
2022-01-14,Greater Noida,12.8,67.5,5.3,0.0
2022-01-15,Greater Noida,10.0,61.9,6.5,0.0
2022-01-16,Greater Noida,10.9,61.2,8.2,0.0
2022-01-17,Greater Noida,12.7,64.7,8.2,0.0
2022-01-18,Greater Noida,8.7,65.3,6.3,0.0
2022-01-19,Greater Noida,9.4,61.1,7.7,0.0
2022-01-20,Greater Noida,9.0,65.9,10.8,0.0
2022-01-21,Greater Noida,10.3,66.6,7.5,0.0
2022-01-22,Greater Noida,12.1,67.7,6.5,0.0
2022-01-23,Greater Noida,12.4,69.6,7.4,0.0
2022-01-24,Greater Noida,12.2,58.9,7.8,0.0
2022-01-25,Greater Noida,10.0,62.4,7.5,0.0
2022-01-26,Greater Noida,8.9,62.3,7.7,0.0
2022-01-27,Greater Noida,12.3,61.7,5.7,0.0
2022-01-28,Greater Noida,11.8,59.4,6.5,0.0
2022-01-29,Greater Noida,13.2,56.0,7.7,0.0
2022-01-30,Greater Noida,13.7,62.2,7.8,0.0
2022-01-31,Greater Noida,13.1,58.6,7.2,0.0
2022-02-01,Greater Noida,14.2,62.0,7.8,0.0
2022-02-02,Greater Noida,13.6,58.3,8.2,0.0
2022-02-03,Greater Noida,14.2,57.0,9.5,0.0
2022-02-04,Greater Noida,12.7,62.2,8.1,0.0
2022-02-05,Greater Noida,13.6,61.8,8.9,0.0
2022-02-06,Greater Noida,14.3,63.4,7.5,0.0
2022-02-07,Greater Noida,15.4,69.7,9.3,22.1
2022-02-08,Greater Noida,5.4,61.9,9.0,0.0
2022-02-09,Greater Noida,15.3,62.7,9.8,0.0
2022-02-10,Greater Noida,14.4,56.3,9.6,0.0
2022-02-11,Greater Noida,14.8,55.3,9.5,0.0
2022-02-12,Greater Noida,16.4,66.7,8.5,0.0
2022-02-13,Greater Noida,12.6,56.5,9.1,0.0
2022-02-14,Greater Noida,13.8,55.9,10.4,0.0
2022-02-15,Greater Noida,13.8,59.8,7.8,0.0
2022-02-16,Greater Noida,12.8,59.5,7.9,0.0
2022-02-17,Greater Noida,15.3,56.1,9.2,0.0
2022-02-18,Greater Noida,17.6,58.4,9.6,0.0
2022-02-19,Greater Noida,16.3,64.4,7.8,0.0
2022-02-20,Greater Noida,17.2,56.1,8.9,0.0
2022-02-21,Greater Noida,18.7,53.6,9.0,0.0
2022-02-22,Greater Noida,19.3,62.8,5.8,0.0
2022-02-23,Greater Noida,17.6,60.9,8.9,0.0
2022-02-24,Greater Noida,19.8,56.3,9.0,0.0
2022-02-25,Greater Noida,18.2,52.3,9.1,0.0
2022-02-26,Greater Noida,17.2,55.5,11.5,0.0
2022-02-27,Greater Noida,17.8,58.1,7.6,0.0
2022-02-28,Greater Noida,16.8,62.8,8.2,4.8
2022-03-01,Greater Noida,17.8,53.9,5.6,0.0
2022-03-02,Greater Noida,18.8,57.6,8.8,0.0
2022-03-03,Greater Noida,20.7,60.5,9.0,0.0
2022-03-04,Greater Noida,22.2,48.1,8.8,0.0
2022-03-05,Greater Noida,18.1,61.6,11.3,0.0
2022-03-06,Greater Noida,20.9,52.6,11.0,0.0
2022-03-07,Greater Noida,19.1,58.5,9.9,0.0
2022-03-08,Greater Noida,21.5,58.0,9.2,5.7
2022-03-09,Greater Noida,17.9,61.2,11.4,0.0
2022-03-10,Greater Noida,18.8,58.9,9.8,0.0
2022-03-11,Greater Noida,22.9,47.1,8.7,0.0
2022-03-12,Greater Noida,21.0,53.3,7.4,0.0
2022-03-13,Greater Noida,21.3,56.8,9.3,0.0
2022-03-14,Greater Noida,20.8,55.3,11.2,0.0
2022-03-15,Greater Noida,21.7,57.9,13.5,0.0
2022-03-16,Greater Noida,23.5,59.0,10.2,0.0
2022-03-17,Greater Noida,22.8,58.1,9.0,0.0
2022-03-18,Greater Noida,23.8,54.6,8.4,0.0
2022-03-19,Greater Noida,24.1,48.0,11.0,0.0
2022-03-20,Greater Noida,25.7,53.4,7.6,0.0
2022-03-21,Greater Noida,23.7,56.7,11.1,19.3
2022-03-22,Greater Noida,13.8,50.5,11.5,8.2
2022-03-23,Greater Noida,23.2,57.3,11.0,0.0
2022-03-24,Greater Noida,24.5,58.2,10.0,0.0
2022-03-25,Greater Noida,26.7,55.0,11.3,0.0
2022-03-26,Greater Noida,26.0,42.1,10.7,0.0
2022-03-27,Greater Noida,25.5,49.1,9.3,0.0
2022-03-28,Greater Noida,26.4,61.6,13.3,0.0
2022-03-29,Greater Noida,28.9,51.7,,0.0
2022-03-30,Greater Noida,29.4,45.8,11.7,0.0
2022-03-31,Greater Noida,26.8,58.5,6.9,0.0
2022-04-01,Greater Noida,27.2,53.5,12.5,0.0
2022-04-02,Greater Noida,28.7,57.7,12.8,0.0
2022-04-03,Greater Noida,26.3,54.3,10.7,0.0
2022-04-04,Greater Noida,28.2,54.9,11.5,0.0
2022-04-05,Greater Noida,27.9,54.4,11.5,0.0
2022-04-06,Greater Noida,28.7,55.6,9.8,0.0
2022-04-07,Greater Noida,27.3,61.8,11.6,20.0
2022-04-08,Greater Noida,18.0,56.4,9.5,28.3
2022-04-09,Greater Noida,17.6,46.1,9.9,0.0
